listing_id,number_of_reviews,review_scores_rating,reviews_per_month
903598,0,94.0,
9903,0,94.0,
14444280,0,94.0,
12379725,4,90.0,0.83
7225376,5,64.0,0.35
5660081,2,100.0,0.3
13968660,1,100.0,1.0
1426711,13,83.0,0.35
5510597,0,94.0,
12849985,0,94.0,
12320063,3,93.0,0.88
4823089,28,90.0,1.53
7871576,2,94.0,0.16
5904992,5,92.0,0.31
5222368,0,94.0,
66288,404,78.0,5.87
11313921,0,94.0,
6629929,23,93.0,1.69
12074204,1,94.0,0.25
4160585,34,99.0,1.44
13391024,8,98.0,3.29
195515,1,87.0,0.02
13565466,1,80.0,1.0
130552,2,96.0,0.05
5832127,8,75.0,0.52
9710999,0,94.0,
12517081,4,85.0,1.03
13531200,6,100.0,3.0
11861063,7,86.0,2.1
12089399,0,94.0,
5453775,14,83.0,0.79
12497846,8,84.0,1.9
14137262,9,93.0,6.75
5526487,28,95.0,1.83
14398508,1,80.0,1.0
1373520,70,92.0,1.93
6387077,0,94.0,
13037372,14,95.0,3.62
1471308,72,79.0,1.93
13521713,5,88.0,2.63
848152,31,84.0,0.73
7008455,3,93.0,0.23
11006149,0,94.0,
12102482,0,94.0,
6744795,0,94.0,
3659917,42,95.0,1.63
14854671,0,94.0,
1092093,9,89.0,0.23
10051003,3,60.0,0.36
11219568,0,94.0,
1471373,73,82.0,1.95
13888974,0,94.0,
9428208,0,94.0,
13233250,8,90.0,2.89
9710673,0,94.0,
8973362,3,93.0,0.29
10153739,0,94.0,
2754149,50,96.0,1.73
12707324,2,100.0,0.75
14442333,0,94.0,
9824155,14,85.0,2.33
13624971,1,80.0,1.0
9626892,4,100.0,0.45
7562235,3,80.0,0.23
10478553,2,100.0,0.8
14854164,0,94.0,
14196983,0,94.0,
6611126,0,94.0,
5267396,73,91.0,3.86
8184662,1,40.0,0.22
12264207,7,86.0,2.14
14685769,0,94.0,
14867747,0,94.0,
13081347,3,87.0,0.94
6118583,10,100.0,0.6
6990023,20,95.0,1.38
14670311,0,94.0,
10328539,25,93.0,11.36
14668008,1,94.0,1.0
10131503,0,94.0,
7280665,2,100.0,0.15
10153536,0,94.0,
12359031,0,94.0,
13000520,9,98.0,2.41
7050397,1,100.0,0.07
4687499,24,93.0,1.16
4625517,0,94.0,
5412487,1,94.0,0.06
13062783,4,85.0,1.5
7868931,2,80.0,0.16
8442314,27,84.0,2.35
12357955,0,94.0,
12750816,10,74.0,2.78
8015793,1,100.0,0.11
9998187,9,93.0,1.08
14336348,1,100.0,1.0
4493030,1,100.0,0.19
13525610,8,93.0,2.96
14339562,1,80.0,1.0
14110186,0,94.0,
4787213,6,90.0,0.47
13658697,0,94.0,
8539551,33,94.0,2.84
9407895,11,68.0,1.3
13651290,4,95.0,2.5
3198169,9,98.0,0.35
10537553,3,67.0,1.3
7113260,23,95.0,1.63
13060366,1,94.0,0.27
14092430,11,78.0,6.88
6834270,29,85.0,1.97
7379913,15,97.0,1.08
4523594,0,94.0,
543188,0,94.0,
4409653,1,20.0,0.07
12667158,7,48.0,2.66
8337048,19,93.0,1.57
8390386,7,90.0,0.63
13028092,10,96.0,3.0
12608363,2,100.0,0.48
5967936,0,94.0,
6684904,2,100.0,0.15
6676364,158,98.0,10.28
2174711,101,88.0,3.24
14235257,0,94.0,
6870366,133,96.0,9.32
7637094,0,94.0,
4518756,19,92.0,1.06
14759485,1,100.0,1.0
14237196,0,94.0,
13449737,0,94.0,
14365669,0,94.0,
11940785,2,100.0,1.71
4518710,38,88.0,1.74
13397390,1,100.0,0.64
11398458,1,100.0,1.0
1731639,9,91.0,0.74
4518380,13,86.0,0.6
12265433,5,95.0,1.1
6268082,14,97.0,4.67
14820482,0,94.0,
8422876,32,94.0,2.71
13129109,0,94.0,
2706986,16,90.0,1.05
11963384,0,94.0,
9825415,11,93.0,1.27
14731382,0,94.0,
7931882,11,96.0,0.99
475259,3,73.0,1.55
475254,0,94.0,
6292261,65,93.0,4.05
6499228,0,94.0,
4053612,30,95.0,1.24
8733896,37,100.0,3.57
9166002,0,94.0,
8014683,2,100.0,0.19
3359170,1,100.0,0.04
12303347,1,100.0,0.54
3401809,0,94.0,
12301081,0,94.0,
2848330,33,86.0,1.36
13079659,3,93.0,0.98
2848370,36,91.0,1.53
13024385,1,100.0,0.36
7630346,58,88.0,4.55
2848362,30,85.0,1.25
2187766,22,92.0,0.74
14246956,0,94.0,
2848393,8,95.0,0.33
14573486,0,94.0,
3342206,2,100.0,0.09
8830015,55,95.0,5.31
14898198,0,94.0,
10611728,2,100.0,0.27
11169560,13,87.0,2.15
14251275,0,94.0,
12302222,1,100.0,0.77
6452246,80,98.0,6.42
8861069,20,91.0,1.91
13417639,5,84.0,2.5
12383204,1,80.0,0.58
6500646,5,100.0,2.34
12986892,0,94.0,
7434871,57,86.0,4.22
7630340,40,83.0,3.25
2848239,33,97.0,1.38
994317,4,90.0,0.09
12428994,0,94.0,
9921925,0,94.0,
13813380,4,100.0,2.4
10116726,1,80.0,0.14
10136854,0,94.0,
10034614,0,94.0,
14918194,0,94.0,
9183638,3,100.0,0.44
12984748,0,94.0,
12284774,0,94.0,
10117472,0,94.0,
11126122,5,96.0,1.09
12067685,2,80.0,0.42
10116429,1,100.0,0.13
13943142,2,80.0,1.15
10034113,0,94.0,
11968079,0,94.0,
4255538,10,98.0,0.44
10033710,0,94.0,
10033322,0,94.0,
11982313,0,94.0,
14506396,2,100.0,2.0
10261620,0,94.0,
12899321,0,94.0,
4445906,3,87.0,0.63
10116601,1,100.0,0.2
11981674,0,94.0,
12949309,0,94.0,
9261381,0,94.0,
11772497,62,86.0,10.69
14420920,0,94.0,
12356183,0,94.0,
2722165,50,92.0,1.72
14420354,0,94.0,
12986016,1,100.0,0.42
10262069,0,94.0,
14222649,2,60.0,1.76
13762650,0,94.0,
10117329,2,100.0,0.25
721979,7,97.0,0.17
13624476,0,94.0,
13445221,1,94.0,1.0
13059,13,94.0,0.2
369880,16,96.0,0.66
822063,0,94.0,
12826145,4,100.0,4.0
8555187,29,95.0,2.6
10704442,0,94.0,
10928093,1,80.0,0.14
9834727,16,93.0,2.03
8011545,47,98.0,3.96
14204600,7,94.0,5.53
10106081,25,97.0,3.16
14461498,2,100.0,2.0
4553903,140,94.0,6.37
11648212,6,100.0,0.97
916123,281,88.0,6.83
10779412,0,94.0,
5782221,57,99.0,4.05
13744821,8,97.0,3.64
12221012,6,100.0,1.55
2898226,130,87.0,4.69
12843196,2,100.0,0.92
13478348,10,98.0,4.29
14104621,1,100.0,1.0
14857923,0,94.0,
12269155,55,97.0,11.3
13800505,5,60.0,4.41
13007124,21,88.0,5.63
14808548,0,94.0,
13248823,1,100.0,0.39
12957423,36,96.0,10.19
13107648,19,98.0,5.7
2831504,2,90.0,0.07
2842124,33,84.0,1.18
14282764,3,80.0,2.81
13709092,4,93.0,2.4
9858828,22,98.0,3.3
14035943,0,94.0,
7582651,3,100.0,0.25
11924459,41,98.0,7.37
766700,244,88.0,6.13
13005579,22,93.0,6.73
3434614,25,94.0,0.94
13573506,0,94.0,
4518100,14,86.0,0.7
4304969,135,97.0,5.85
2943804,7,94.0,0.29
11922134,36,83.0,8.71
2043541,37,87.0,1.18
2043529,19,84.0,0.71
9750460,9,93.0,2.13
2043261,15,75.0,0.53
815639,281,92.0,7.08
6089865,120,96.0,7.26
2633478,12,90.0,0.41
7450348,0,94.0,
9841140,7,97.0,0.8
13298108,3,93.0,3.0
4924910,111,87.0,5.78
13642397,4,100.0,2.07
14624254,0,94.0,
4580825,51,89.0,2.89
10836881,0,94.0,
9610609,3,80.0,0.49
3006311,7,94.0,0.26
13414367,5,92.0,2.11
8036024,84,97.0,6.9
24240,37,95.0,0.52
12425501,15,87.0,5.17
6939759,3,100.0,0.89
3129309,171,92.0,6.23
4350995,8,97.0,0.35
6971836,10,95.0,0.69
1220971,43,89.0,1.33
3664031,42,93.0,1.72
14215317,0,94.0,
4089940,31,92.0,1.32
1615033,236,87.0,6.45
11624428,6,100.0,1.04
9331460,2,100.0,0.22
9117009,27,91.0,2.63
14572511,1,100.0,1.0
220676,160,98.0,2.66
891661,190,91.0,4.49
14780436,0,94.0,
5511911,1,100.0,0.07
7036112,6,97.0,1.02
14424224,0,94.0,
14429876,3,93.0,3.0
7018497,6,90.0,0.44
14538087,0,94.0,
6134145,75,95.0,4.6
8556025,72,96.0,6.22
5755910,5,96.0,0.35
9425902,8,100.0,1.13
12407753,0,94.0,
1758953,80,94.0,2.73
1094599,19,96.0,0.49
14589695,0,94.0,
7181950,67,98.0,4.95
6197950,8,98.0,0.51
971393,11,95.0,0.26
9344096,3,93.0,0.32
7984226,0,94.0,
12784064,11,95.0,3.98
8458210,48,99.0,4.3
2183058,73,98.0,2.4
4279959,24,90.0,1.03
2657905,49,88.0,1.74
4558443,22,94.0,1.0
4034018,15,97.0,0.63
947751,0,94.0,
2658094,68,86.0,2.49
11229070,32,97.0,4.87
10997047,19,91.0,3.65
3967611,4,90.0,0.17
7080514,1,100.0,0.11
12585455,36,96.0,8.12
4573388,47,89.0,2.39
9259184,64,96.0,6.6
14239909,0,94.0,
8390793,0,94.0,
4573238,45,87.0,2.13
9706199,6,93.0,0.71
12683680,7,100.0,1.79
8227206,18,93.0,1.49
4573458,27,87.0,1.3
369940,19,96.0,0.47
1426754,73,91.0,1.97
3032367,41,98.0,1.58
6801288,17,92.0,1.19
12306135,0,94.0,
10175033,20,99.0,2.69
12599820,3,100.0,0.7
5768195,1,100.0,0.06
13140867,9,100.0,5.19
11223924,30,97.0,4.59
2376518,1,97.0,0.03
14483758,2,90.0,2.0
13074722,4,100.0,1.12
4653267,1,100.0,0.07
7454907,2,100.0,0.15
13258244,2,100.0,0.64
7273513,2,100.0,0.15
12494334,2,70.0,0.44
8014642,2,70.0,0.16
13653233,2,90.0,1.58
8238404,79,91.0,6.6
7293671,2,100.0,0.16
2473997,31,93.0,1.02
14300751,3,93.0,2.81
14300921,6,93.0,5.29
2260547,0,94.0,
5506,36,91.0,0.4
2636365,60,89.0,2.05
1884045,173,87.0,5.02
5717690,27,85.0,1.7
10190260,1,100.0,0.14
6765855,31,97.0,2.06
1342370,52,84.0,1.45
349347,55,85.0,1.05
8469464,8,83.0,0.75
801722,14,94.0,0.31
2260501,0,94.0,
801680,23,95.0,0.5
1175376,49,89.0,1.25
6093430,0,94.0,
14756269,1,60.0,1.0
12351909,21,97.0,4.5
1374466,25,97.0,0.76
1374434,23,93.0,0.64
14742564,0,94.0,
12368082,1,100.0,0.3
276450,54,82.0,1.02
3602379,81,92.0,3.47
14907062,0,94.0,
8402408,57,96.0,8.3
6780313,18,83.0,1.23
8238311,80,88.0,6.7
13513696,0,94.0,
4568116,163,96.0,7.41
11300899,15,97.0,3.72
6780300,9,84.0,0.65
14668441,0,94.0,
14813006,1,100.0,1.0
8172380,87,88.0,7.33
13054720,32,98.0,10.21
11907764,42,82.0,8.29
8319253,2,80.0,0.18
60029,112,95.0,1.62
1403408,12,100.0,0.32
9614024,8,70.0,4.0
14414473,4,100.0,4.0
12627225,10,58.0,5.45
8153848,81,86.0,6.62
4205641,46,85.0,2.13
9415712,1,80.0,1.0
9694218,55,97.0,7.75
12857811,14,62.0,4.62
6080461,13,97.0,0.78
13298137,1,100.0,1.0
14428517,0,94.0,
13379155,3,80.0,1.11
10249798,1,100.0,1.0
7825327,9,78.0,0.8
12756776,5,88.0,2.83
1550047,60,85.0,1.65
5269216,43,88.0,2.35
9166393,1,100.0,0.1
11656698,44,94.0,7.67
9362821,54,87.0,5.45
1850260,156,86.0,4.53
6645010,24,89.0,1.6
13214949,7,94.0,3.44
14428745,0,94.0,
2892825,7,84.0,0.35
8371203,8,100.0,0.7
5317935,3,100.0,0.18
14110777,0,94.0,
6939454,34,83.0,2.33
7724412,2,100.0,0.15
176006,88,93.0,1.46
7281884,82,95.0,5.99
13796564,1,80.0,1.0
3727560,91,87.0,3.55
10247000,9,83.0,1.08
13753007,3,73.0,1.5
11639480,0,94.0,
6695,47,95.0,0.54
