listing_id,availability_30,availability_90
971393,0,1
9344096,0,0
7984226,0,0
12784064,2,39
8458210,14,69
2183058,5,47
4279959,0,0
2657905,7,37
4558443,1,28
4034018,0,8
947751,0,0
2658094,12,46
11229070,0,0
10997047,4,50
3967611,0,0
7080514,0,0
12585455,6,45
4573388,4,41
9259184,8,42
14239909,11,67
8390793,0,0
4573238,5,36
9706199,0,0
12683680,17,74
8227206,13,69
4573458,2,45
369940,3,19
1426754,0,46
3032367,0,0
6801288,5,22
12306135,0,0
10175033,5,39
12599820,0,0
5768195,0,0
13140867,4,39
11223924,7,47
2376518,6,37
14483758,5,52
13074722,0,0
4653267,0,0
7454907,0,0
13258244,4,5
7273513,0,0
12494334,29,89
8014642,0,0
13653233,5,5
8238404,5,56
7293671,13,47
2473997,26,86
14300751,9,49
14300921,10,53
2260547,30,90
5506,14,69
2636365,2,19
1884045,6,44
5717690,13,63
10190260,18,78
6765855,0,0
1342370,2,45
349347,17,74
8469464,0,0
801722,9,63
2260501,29,89
801680,8,50
1175376,8,61
6093430,0,0
14756269,0,7
12351909,5,48
1374466,0,0
1374434,0,0
14742564,26,86
12368082,4,64
276450,17,53
3602379,6,54
14907062,18,78
8402408,2,22
6780313,4,53
8238311,22,82
13513696,0,0
4568116,2,30
11300899,0,0
6780300,5,43
14668441,0,0
14813006,13,62
8172380,12,65
13054720,1,28
11907764,17,75
8319253,29,89
60029,0,0
1403408,0,0
9614024,0,0
14414473,4,28
12627225,29,89
8153848,23,83
4205641,3,50
9415712,1,28
9694218,2,11
12857811,27,87
6080461,8,54
13298137,5,65
14428517,2,2
13379155,0,0
10249798,0,52
7825327,17,60
12756776,23,83
1550047,4,35
5269216,5,29
9166393,0,0
11656698,5,32
9362821,0,2
1850260,19,75
6645010,0,29
13214949,0,0
14428745,2,2
2892825,26,79
8371203,29,89
5317935,0,0
14110777,20,80
6939454,0,0
7724412,0,0
176006,15,53
7281884,2,39
13796564,5,5
3727560,14,74
10247000,0,0
13753007,0,0
11639480,27,87
6695,3,49
10787333,4,34
13261006,0,0
5970118,30,90
14473053,0,0
4593974,0,9
3343428,6,45
6576530,22,82
12463075,21,81
3888360,11,51
4560053,7,59
14426987,3,49
13653016,12,57
5526514,11,60
1602491,5,65
14472812,0,0
169430,1,3
8420883,7,67
13652639,14,56
5940069,30,90
8228903,17,72
8310807,19,79
9834532,0,0
4460532,0,21
11948017,0,0
4263736,4,47
69369,6,58
13077603,0,3
8735827,6,42
13978700,30,90
8703026,0,3
12504504,0,17
14855404,16,70
658029,4,39
13918656,15,74
6709682,0,0
4615251,0,0
3656168,5,65
7784616,0,0
7618925,0,21
13549924,18,76
8734707,8,66
5146580,29,57
8815738,4,40
13735741,0,0
8495348,30,90
14418787,14,69
7161203,16,76
5146447,0,15
5146451,12,38
1197857,11,62
13797162,2,33
9961767,3,7
163941,5,53
11011124,0,0
12796808,29,89
4555637,7,59
1638584,0,34
9896359,0,9
5885130,29,89
6068207,0,0
11213228,0,0
2301709,13,43
1077105,0,0
1183032,5,51
9765,27,87
9870,27,87
27141,24,84
650956,8,50
1044307,27,87
11856912,0,0
6992859,29,89
3969526,4,38
1166808,26,86
