id,name,property_id,host_id,neighborhood_id,zipcode,accommodates,bedrooms,minimum_nights,price,availability_30,availability_90
3276286,Sunny apartment in Boston hosts 6,2,15760345,2,02130,6,2.0,2,$190.00,5,46
2014651,One Private Bedroom in J.P.,2,2155838,2,02130,2,1.0,2,$100.00,23,83
6053700,3+ bedroom house - center of JP,1,31247560,2,02130,6,3.0,1,$450.00,30,78
4405982,Luxury Apt near Restaurants&Pond&T,2,21644095,2,02130,8,4.0,2,$399.00,9,43
250983,Designers Haven: II - whole apt!!!,2,8021,2,02130,5,2.0,1,$350.00,0,0
2308630,Spacious 2BD w/ Balconies & Parking,2,5448841,2,02130,4,2.0,2,$200.00,0,0
8272350,"""The Sheridan"" JP, Boston",2,37835016,2,02130,2,1.0,2,$99.00,0,0
12368012,Sumnerhill.com,1,66824316,2,02130,6,3.0,3,$295.00,14,69
4098410,Fully Renovated Room in JP,2,11487565,2,02130,2,1.0,2,$107.00,28,88
6322283,Restful space with morning light,2,19798741,2,02130,1,1.0,1,$69.00,28,88
7823025,Private bedroom in heart of JP,2,4595799,2,02130,2,1.0,1,$76.00,11,59
9549850,Welcome to cozy groundfloor 2rm apt,2,49453306,2,02130,2,1.0,2,$75.00,0,5
7845607,Cozy Sunroom in Secluded Townhouse,1,38120441,2,02130,1,1.0,1,$55.00,0,0
14071446,Twins in a peaceful room.,2,18896448,2,02130,2,1.0,1,$65.00,0,0
14218904,Room in the heart of JP,3,6104362,2,02130,2,1.0,2,$59.00,0,0
11826815,Terrestrial Paradise of Eternal Love,1,18807469,2,02130,2,1.0,2,$88.00,0,0
13334098,3BR + Office Single Family in JP near Monument,1,1176152,2,02130,5,4.0,6,$164.00,0,0
4765070,Private studio w/ private entrance,1,24584716,2,02130,2,0.0,2,$90.00,5,29
2880944,2BD Pond-side condo in JP ,2,5052732,2,02130,4,2.0,5,$185.00,0,0
9532771,Tranquil room in great spot!,2,49365462,2,02130,2,1.0,1,$80.00,0,0
10253591,"Quiet, Private Room with Comfy Bed",1,32071442,2,02119,2,1.0,2,$105.00,26,86
1881298,Private Studio- Minutes from T!,1,1920539,2,02130,2,1.0,1,$90.00,0,4
210097,Treetop Haven in the City,2,1035747,2,02130,2,1.0,3,$100.00,2,9
6059968,Funky Alcove for 2/Superhost/JP Ctr,2,5028116,2,02130,2,1.0,1,$100.00,5,63
6862758,"Quiet, Spacious 2BD in Boston's JP!",2,35962316,2,02130,5,2.0,2,$200.00,0,0
799701,Large Sunny Apartment in JP,2,4210157,2,02130,8,4.0,4,$300.00,0,0
6862594,"Beautiful Home in Jamaica Plain, MA",1,10608570,2,02130,2,1.0,1,$60.00,0,0
9057435,3 BR Apartment with Kitchenette,2,47251069,2,02130,6,3.0,1,$319.00,14,55
750438,"A quiet, green oasis in funky JP! ",2,3945438,2,02130,2,1.0,2,$85.00,0,54
12874603,Comfortable Private Bedroom for 2,3,48719428,2,02130,2,1.0,1,$70.00,0,0
12727401,Excellent Room! Right by the Subway,2,69203736,2,02130,2,1.0,1,$50.00,0,0
2077794,Charming Boston Apartment,2,1500300,2,02130,4,1.0,3,$119.00,0,18
9712731,Cozy 1 Bd Artist's Sanctuary,3,28193547,2,02130,3,1.0,1,$125.00,0,0
13677640,"Peaceful/Fun area, 4 minute walk to ""T""",2,79610778,2,02130,2,1.0,1,$53.00,0,0
3371091,Treetop Room in Sunny Pondside Home,2,1922657,2,02130,4,1.0,1,$125.00,30,90
13512551,"CITY HOME COUNTRY FEEL, Boston, MA USA",1,77569960,2,Unknown,6,4.0,3,$199.00,0,35
732999,Lovely home in Jamaica Plain Boston,2,3817361,2,02130,4,2.0,2,$205.00,13,17
6106955,Treetop 2+BR Condo w/ Guest Hammock,3,1622932,2,02130,5,2.0,4,$114.00,0,0
2698996,Room in Pondside Apt!,2,13812113,2,02130,2,1.0,2,$75.00,14,62
27611,One Bedroom Studio Garden Apartment,2,119381,2,02130,2,1.0,3,$185.00,18,73
4025194,Queen Bed/Near Subway/Free Passes,2,1480518,2,02131,2,1.0,1,$75.00,22,69
